cite_label,publication_year,authors,title,doi,article_link,taxon_focus,theme,pdf_filename,note
Poidatz2018,2018,"Poidatz J;Lopez Plantey R;Thiéry D",Indigenous strains of Beauveria and Metharizium as potential biological control agents against the invasive hornet Vespa velutina,10.1016/j.jip.2018.02.021,https://doi.org/10.1016/j.jip.2018.02.021,Vespa_velutina,beauveria_vespidae,Poidatz-2018-indigenous-Bb-strains.pdf,"Key V. velutina Bb/Metarhizium bioassays; velutina_prior_project; PDF was missing in prior project list but present here"
Poidatz2019,2019,"Poidatz J;Lopez Plantey RJ;Thiéry D",A Beauveria bassiana strain naturally parasitizing the bee predator Vespa velutina in France,10.1127/entomologia/2019/0690,https://doi.org/10.1127/entomologia/2019/0690,Vespa_velutina,beauveria_vespidae,Poidatz-2019-natural-Bb-parasite.pdf,"Natural Bb infection of V. velutina foundress; Trojan-horse discussion; velutina_prior_project"
Merino2007,2007,"Merino L;France A;Gerding M",Selection of native fungi strains pathogenic to Vespula germanica (Hymenoptera: Vespidae),10.4067/s0365-28072007000400001,https://doi.org/10.4067/s0365-28072007000400001,Vespidae,beauveria_vespidae,Merino-2007-Bb-sugar-baits.pdf,"Bb and Metarhizium in liquid sugar baits vs V. germanica workers/males; velutina_prior_project"
Reason2022,2022,"Reason A;Bulgarella M;Lester PJ",Identity Prevalence and Pathogenicity of Entomopathogenic Fungi Infecting Invasive Polistes Paper Wasps in New Zealand,10.3390/insects13100922,https://doi.org/10.3390/insects13100922,Vespidae,beauveria_vespidae,Reason-2022-Beauveria-Polistes.pdf,"Beauveria malawiensis and Ophiocordyceps on Polistes chinensis; velutina_prior_project"
vanZyl2023,2023,"van Zyl C;Malan AP;Addison P;Veldtman R",Potential control of Vespula germanica and Polistes dominula using entomopathogens,10.1080/09583157.2023.2297165,https://doi.org/10.1080/09583157.2023.2297165,Vespidae,beauveria_vespidae,vanZyl-2023-Bb-Vespula-control.pdf,"Bb plus EPNs on Vespula/Polistes larvae; lab and nest application; velutina_prior_project"
Rose1999,1999,"Rose EAF;Harris RJ;Glare TR",Possible pathogens of social wasps (Hymenoptera: Vespidae) and their potential as biological control agents,10.1080/03014223.1999.9518188,https://doi.org/10.1080/03014223.1999.9518188,Vespidae,beauveria_vespidae,Rose-1999-Vespidae-pathogens-review.pdf,"Review of pathogens on Vespula/Vespa/Dolichovespula including fungi/Bb; velutina_prior_project"
Brownbridge2009,2009,"Brownbridge M;Toft R;Rees J;Nelson TL;Bunt C",Towards better mitigation technologies for invasive wasps Vespula spp.,,,Vespidae,beauveria_vespidae,Brownbridge-2009-fungal-protein-baits.pdf,"NZ Plant Protection Society poster abstract; protein baits with Metarhizium and Beauveria reduce nest traffic; velutina_prior_project"
deSouza2023,2023,"de Souza AR;Prato A;Franca W;Santos S;Lima LD;Alves DA;Bernardes RC",A predatory social wasp does not avoid nestmates contaminated with a fungal biopesticide,10.1007/s11356-023-29770-5,https://doi.org/10.1007/s11356-023-29770-5,Vespidae,beauveria_vespidae,deSouza-2023-wasp-Bb-nestmates.pdf,"Bb biopesticide contamination; nestmate avoidance/behavior in predatory social wasp; velutina_prior_project"
MayorgaCh2021,2021,"Mayorga-Ch D;Castro-Cortés NC;Rodríguez C;Sarmiento CE",Behavioral Responses of the Social Wasp Polistes myersi to Prey Infected with Fungi Used in Biological Control,10.1007/s10905-021-09775-z,https://doi.org/10.1007/s10905-021-09775-z,Vespidae,beauveria_vespidae,,"CSV-only; no PDF in velutina library or this repo; Bb/fungal biopesticide prey cues in Polistes myersi; velutina_prior_project"
Cappa2024,2024,"Cappa F;De Fazi L;Baracchi D;Cervo R",Adverse effects of the fungal biopesticide Beauveria bassiana on a predatory social wasp,10.1016/j.scitotenv.2023.168202,https://doi.org/10.1016/j.scitotenv.2023.168202,Vespidae,beauveria_vespidae,,"Already in Phase 2 includes; PDF not yet filed under 00; Bb nontarget/adverse effects on predatory social wasp"
DeFazi2025,2025,"De Fazi L;Cervo R;Baracchi D;Bruschini C;Cappa F",Biopesticide Exposure Increases Aggression Without Impairing Nestmate Recognition in a Social Paper Wasp,10.1002/tox.24547,https://doi.org/10.1002/tox.24547,Vespidae,beauveria_vespidae,,"Already in Phase 2 includes; PDF not yet filed under 00; Bb biopesticide behavioral effects in paper wasp"
